f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,uncertainty,recon_loss,kernel_drop
-0.500852,1.09384,-0.567888,0.693595,-0.215242,-0.638662,-0.526335,0.105492,0.156985,-0.0912317,-0.207867,-0.244906,-1.18117,0.531575,-0.356644,-0.397502,-0.823031,-0.405475,0.292962,0.284553,0.130984,0.601686,0.125165,0.0523582,0.159933,-0.212187,-1.14931,-0.438424,0.375261,-0.486533,-0.142824,-0.4601,0.521194,0.927331,1
-0.174818,-0.145625,-0.976642,-0.454217,0.326281,0.996852,0.565706,-0.00150668,0.453123,0.470922,-0.31676,0.400275,0.671009,-0.386605,0.570423,0.123063,0.488622,0.403214,-0.52385,-0.0219411,-0.163183,-0.403839,0.247154,-0.206032,0.0823085,0.63632,0.727766,0.163822,0.554402,-0.451892,-0.376187,0.358293,0.44371,0.941295,1
-0.243419,0.555246,0.151675,-0.209251,-0.290688,0.379229,-0.298061,0.0826689,-0.721552,0.415121,0.145023,0.392722,0.373867,-0.331891,0.318625,0.188098,-0.690173,0.682046,0.225141,-0.15151,0.144342,-0.260852,0.325277,-0.310356,-0.616373,-1.1355,1.03036,-0.404367,0.326048,0.405499,-0.604081,0.813144,0.579782,0.942716,1
-1.04246,0.316497,-1.26721,-0.493731,-0.575226,1.14332,-0.174289,0.261149,-0.159237,1.02606,0.877141,0.586937,-0.0722254,-0.30287,-0.314075,0.193721,-0.258977,0.207989,0.913737,0.625335,-0.204582,0.289678,-0.399243,0.144719,-1.26085,-0.343651,0.755895,0.561729,-0.336355,0.197183,-0.147788,0.481221,0.460217,0.914897,1
0.971736,0.242503,-0.164084,0.265396,-0.961395,-0.48333,-1.01307,0.370045,-0.593129,-0.0330626,0.0868026,0.308495,-0.247786,-0.536471,-0.0195211,0.717746,1.55172,0.219312,-0.41626,0.998405,0.518145,-0.552458,0.121281,0.589039,-1.04906,0.686699,0.462656,0.0148391,-1.1058,0.0481405,-0.146309,-0.466671,0.464649,0.762837,1
0.196357,1.0894,-0.251875,1.93545,-0.168883,-0.552442,-0.398627,-0.185587,0.0638866,0.447048,0.212787,-0.815404,0.321156,0.322303,0.289732,0.136075,-0.0433938,-0.153912,-0.0132727,0.746244,0.639138,-0.569507,-0.0417238,0.75869,0.0304491,-0.503456,-0.935366,-0.0880158,-0.631899,-0.121553,0.354317,-0.467525,0.511224,0.86532,1
0.591047,0.479422,-0.484957,-0.884963,-0.0609645,-0.317004,0.558182,-0.487256,0.184743,-0.166521,-0.745939,-0.0837384,0.612107,-0.11162,0.217635,0.540447,0.295841,-0.169228,0.626172,0.325304,0.0497313,-0.687264,-0.751413,0.118239,0.0674636,-0.104624,-0.629148,0.694177,-0.697107,-0.359029,0.474936,1.11663,0.538941,0.773165,1
0.586139,0.792804,-0.364843,-0.558285,-0.515851,0.320363,0.463494,-0.369988,-0.881736,-0.339261,-0.222131,0.102416,-0.322197,-0.00697999,0.382859,0.908887,0.386285,0.0652123,-0.0227246,-0.356796,0.374247,0.408615,0.0549907,-0.0559764,-0.162994,-0.0831761,-0.153616,1.29204,-0.181421,0.561609,-0.376546,0.40473,0.467448,0.869993,1
0.421235,-0.359029,-0.298865,-0.397254,0.209505,-0.544485,0.00231601,0.141886,0.500624,-0.407435,0.299615,-0.0660403,-0.219828,0.65323,0.492276,0.414061,0.824202,0.267638,-0.175198,0.116199,-0.0103031,1.23988,0.088159,-0.144814,0.337929,-0.685293,-0.17104,-0.666615,0.720267,-0.0521053,-0.3263,-0.402989,0.563198,0.933971,1
-0.864639,0.541114,-0.161707,-0.363807,0.296387,0.00896666,0.681656,-0.588533,-0.352999,-0.0464701,-0.620949,0.166549,0.537878,-0.0203541,0.242222,0.782889,0.407231,0.5682,-0.346704,-0.357431,-1.10845,0.175657,-0.284428,-0.182923,-0.802285,0.985321,-0.877892,-1.46843,0.0242987,-0.233569,-0.0860609,0.301136,0.563014,0.885552,1
0.176431,0.384648,0.237031,0.121811,0.323841,7.95,0.229101,0.294813,0.268157,0.33251,0.142716,0.306279,0.208411,0.339377,0.210186,0.271395,0.367494,0.373127,0.374236,0.320674,0.148314,0.124818,0.314701,0.18281,0.276637,0.336838,0.335555,0.103881,0.394242,0.241101,0.1013,0.268536,0.52,0.82,1
-0.355935,0.10895,-0.455435,-0.691843,-0.673015,-0.890379,-0.284913,-0.145153,0.338841,0.186338,0.304283,0.527444,-0.830427,-0.189058,-0.531501,-0.661301,0.565623,0.43861,0.566517,0.599805,0.826422,0.419825,-0.818021,-0.422818,0.658261,-0.219195,-0.687078,-0.346036,0.926575,-0.00897644,0.447139,0.0997741,0.461479,0.885334,1
-0.738508,0.2468,-0.570319,-0.700603,0.162204,-0.365816,-0.270807,-0.231819,0.140546,-0.216392,0.970001,0.213588,0.207869,0.298609,-0.305237,-0.102043,-0.343131,0.412018,0.365223,0.112909,0.667165,-0.343564,-0.0331301,0.301393,0.35083,-0.350358,0.702112,0.833273,-0.503008,-0.172889,-0.0683066,0.451309,0.577945,0.817013,1
0.564173,-0.359918,-0.948283,-0.786125,0.0268221,-0.667208,0.415808,-0.0360361,-0.465419,0.377956,-0.380465,-0.050904,0.487182,0.229745,0.183731,0.359348,-0.192868,-0.833392,-1.16271,-0.119824,-0.105681,0.317533,0.0921321,-0.348574,0.65269,-0.125993,-1.38281,-0.460971,-0.402959,-0.537746,0.382102,0.12751,0.558639,0.849051,1
-0.545283,0.611679,0.0431124,-0.474395,0.110599,0.15367,-0.231666,0.0932011,-0.144836,-1.35185,-0.184997,-0.770134,-0.368273,0.320512,-0.257279,0.665441,-0.50799,-0.45456,-0.62033,-0.0995724,0.743899,0.443038,-0.565505,-0.124698,0.436883,0.422824,0.423197,-0.450308,-0.709583,-0.278182,0.262485,-1.58271,0.429066,0.868045,1
-0.413275,-0.109165,0.834385,-0.285354,0.187347,0.0220501,0.0623318,-0.567172,0.0221741,0.105063,-0.529544,0.975306,0.178287,0.563425,1.08959,0.239502,0.441041,-0.806915,0.53133,0.281832,0.406955,0.744618,-1.00801,-0.583326,-0.604219,0.32743,0.0141744,-1.17506,-0.0426253,0.708644,-0.729764,-0.64302,0.500447,0.832948,1
-0.381908,-0.099534,-0.279701,0.772454,0.0469341,-0.583941,-0.090811,0.156284,0.261183,0.49538,-0.233287,-0.39654,0.476753,0.298644,0.192578,0.893742,0.255969,0.630201,-0.00245064,-0.437231,-0.395756,0.387831,-0.495751,0.475148,0.0636366,0.151224,0.373058,0.403297,0.657471,0.489158,-0.382247,0.238031,0.540751,0.839363,1
0.162944,0.684328,-0.425506,-0.705305,-0.881779,0.414906,-0.352034,-0.0499461,-0.216276,0.64778,-0.382183,0.866152,-0.6186,-0.382542,0.408723,0.742796,0.64497,0.490862,-0.45742,-1.10971,0.236372,-0.328671,0.851153,0.0673026,0.649423,-0.438099,0.0601075,-0.360844,0.0559054,0.199735,-0.386025,0.549776,0.477943,0.825572,1
0.0130215,-0.471054,0.283269,-0.315946,-0.370844,0.22062,0.815694,0.570947,0.75418,0.536327,-0.188796,-0.335008,-0.511015,0.734634,1.09647,0.287002,-0.714056,0.807832,0.450329,0.182051,0.305706,-0.830548,-0.0992193,-0.299246,-0.588418,-0.563332,0.381448,-0.00802039,0.071418,-0.134362,-0.381125,-0.11368,0.420414,0.947769,1
0.32147,-1.02488,-0.958383,-0.0269156,-0.417989,0.240426,-0.170822,-0.219392,-0.864242,0.257436,0.117188,0.188122,-0.83407,-0.399953,-0.667933,0.0489066,0.469606,0.579599,0.51363,-0.50004,0.113879,-0.0488696,-0.581718,0.272192,-0.284086,-0.129343,-0.211739,-0.0904305,-0.298296,0.156131,-0.120134,-0.219821,0.487435,0.809761,1
0.70043,0.394873,0.0840099,0.126397,-0.285539,0.671826,-0.181103,0.320732,-0.197647,-0.210819,0.827234,-0.251738,-0.53829,0.249264,0.670878,0.0979406,-1.08521,-0.152992,0.224892,0.0380201,-0.660964,0.441172,0.691626,0.282021,-0.575897,-0.33985,-0.883386,0.267834,0.220738,-0.0811175,-0.172079,-0.234892,0.422541,0.815456,1
0.480608,0.198724,0.518803,-0.121924,0.401435,-0.0964115,0.227256,-0.983001,-0.435635,-0.764034,0.866521,0.520417,0.381879,-0.0712204,-0.00506156,-0.135564,1.25021,1.03831,0.0842473,-0.188633,-0.0348674,0.251535,0.358934,0.242993,-0.0998614,-0.0735439,0.0745256,-0.527636,-0.261592,-0.0980858,-0.0148703,-0.147321,0.449943,0.864141,1
-0.226078,0.485066,-0.291647,0.183101,-0.459611,-0.369709,-0.0114524,0.0954668,-0.729153,-0.317408,-0.119226,-0.375166,-0.00257526,0.185993,0.533348,0.228685,0.336751,-0.897027,-0.526039,-0.11726,0.120168,1.2171,0.715995,0.543031,-1.18296,0.120211,-0.231527,-0.790977,0.105598,-0.58115,0.0762243,0.233487,0.424799,0.830734,1
0.361046,0.602068,-0.841361,0.49858,-0.0489283,0.44482,0.157516,0.831799,-0.430834,0.12074,-1.20598,0.673209,0.283423,-0.00389504,0.429152,0.391155,0.481104,-0.189115,0.429788,-0.478631,-0.497597,0.411256,-0.222213,0.160899,-0.679291,-0.270672,0.146211,0.357423,-0.972301,-0.902085,0.0161609,-0.0574082,0.473303,0.88154,1
-0.346758,-0.178333,0.19281,0.367924,0.0808591,0.711256,0.463979,-0.0904965,0.0897254,-0.736919,0.120758,-1.02912,0.164235,0.317637,-0.340996,0.221283,-1.03518,0.231096,0.284633,-0.123614,-0.195106,-0.257244,0.501253,-0.424594,0.37365,0.404875,-0.171597,-0.113655,-0.373503,0.505131,0.111804,0.529256,0.500523,0.879084,1
-0.117638,-0.00349414,-0.284544,0.994322,0.920323,0.437285,1.00292,-0.173026,-0.74281,0.00555521,-0.103268,-0.176236,0.547223,0.187472,-0.618545,0.32357,0.035707,-0.351709,-0.0916586,-0.0702277,-0.759025,0.0650591,-0.268884,-0.391328,0.367302,-0.0841064,0.209807,0.191439,0.780801,-0.322984,0.0358837,-0.49831,0.444667,0.878561,1
0.0984356,-0.837329,0.888053,-0.769221,0.375566,-0.13806,-0.00914857,-0.446477,-0.0298803,-0.616816,-0.10654,0.126774,0.135512,-1.09115,0.748172,-0.755378,-0.61689,-0.147199,0.368544,0.925909,0.629814,-0.236042,-0.0570638,-0.822466,-0.401045,-0.0740011,0.428359,-1.1469,-0.567337,-0.895336,-0.683235,0.45132,0.575657,0.864491,1
-0.342961,-0.180103,0.40522,0.692741,0.0820399,-0.32329,1.14285,-0.596008,0.493421,0.394628,-0.080126,-0.465681,0.185446,0.17108,0.18127,0.251187,0.109171,-0.405734,-0.00514935,-0.563266,-0.0274191,0.828371,-0.253552,-0.328888,-1.25557,-0.365371,0.68161,-0.165587,0.503453,-0.483036,-0.725897,-0.201271,0.433455,0.774763,1
-1.06092,-0.0753505,-0.146976,-0.357025,0.814213,-0.192036,0.202405,-0.336811,-0.514178,-0.0293757,0.0908086,-0.81228,-0.534811,0.480115,0.294443,0.0723244,-0.141104,-0.707945,0.466259,-0.0147165,-0.0166434,0.778773,-0.313934,-0.298514,-0.241123,0.500851,0.418244,-0.229656,0.0278298,1.02121,-0.819822,-0.249907,0.527454,0.830617,1
0.469517,0.0219977,0.143637,-0.658359,0.542056,-0.265205,0.166522,0.728135,-0.460862,0.0435603,-0.413557,0.143339,0.144858,0.241789,0.239936,0.367363,0.469677,0.333699,-0.683374,-0.423363,-0.808525,0.085286,-0.0547242,0.609027,0.170542,-0.53069,0.428533,0.0320064,0.233469,0.147115,-0.780511,0.350834,0.534985,0.915943,1
0.45617,1.33705,-0.521876,0.932033,-0.0912698,0.0222836,0.0537029,-0.1373,0.441192,0.254969,-0.742285,-0.843509,-0.687525,0.810862,-0.246809,1.49778,-0.0815976,0.104311,0.645527,0.0161705,0.292652,0.850479,0.710648,-0.277779,-1.22336,-1.092,-0.0535822,-0.252657,-0.483209,-1.16067,0.33797,0.324026,0.520148,0.869398,1
0.546054,0.616414,0.399195,0.404657,0.51474,0.629862,-0.576537,-0.762641,-0.177362,0.227842,-0.300635,0.0685138,0.598122,0.0770633,1.09713,0.312053,0.486694,-0.591234,-0.249596,0.0409919,0.389149,-0.705188,-0.447104,-0.42963,-0.639252,-0.711879,-0.0956342,-0.846243,0.0871729,0.164965,0.715606,-0.598097,0.4548,0.938323,1
1.09215,0.975617,-0.610953,0.772116,-0.582994,0.331718,-0.504273,0.407137,-0.297808,0.573102,1.17043,0.02189,0.866581,-0.248411,-0.433492,-0.178336,-0.0730739,-0.408152,0.199527,0.664457,-0.518371,-0.403572,-0.38867,0.338724,0.50381,0.334273,-0.548524,-0.307631,-0.32082,-0.054395,-0.947283,-0.0488469,0.531547,0.794868,1
0.515185,-0.710545,0.416881,-0.463771,-0.604352,-0.286355,-0.178916,-0.155417,-1.0627,-0.988184,-0.423107,0.692912,0.784844,0.283849,0.323485,-0.0467367,-0.282534,-0.595974,-0.695611,0.174033,0.363401,0.0239763,-0.970205,-0.360652,0.367715,-0.761882,0.96621,1.0641,-0.648176,1.07298,-0.194886,0.142438,0.544765,0.87891,1
0.311254,0.365935,0.963976,0.116592,-0.941789,-0.0129761,-0.663799,-0.186016,1.07398,-0.0420665,-0.387877,-0.298168,-0.243908,0.38174,-0.231191,0.344977,-0.287308,0.234938,0.407928,0.558777,-0.317303,-0.192933,0.536021,-0.0943456,-0.444427,-0.631368,0.16292,0.0985332,-0.176133,0.180266,-0.377035,0.0295215,0.549953,0.819056,1
0.846502,-0.155064,-0.424959,-0.503608,0.0364863,-0.156709,-0.799601,0.696948,0.329858,-0.211443,0.760251,0.216535,-0.930007,-0.491513,0.331353,0.0026242,-0.303311,0.836567,-1.09599,0.0702444,0.0956046,-0.465456,0.286287,0.183766,-0.319325,-0.416448,0.560328,0.462095,0.503396,-0.0820458,-0.111907,-0.36715,0.504399,0.802275,1
0.455556,-0.411861,0.632223,0.433257,-0.270937,0.172345,0.10953,-0.754581,0.208855,-0.00977128,0.374302,1.08147,0.64486,-0.489981,-0.694001,-0.0729946,0.0610088,0.728034,0.494397,-0.418543,-0.21414,-0.172437,-0.126378,0.6751,0.378492,0.453757,0.737246,0.364995,-0.334155,-0.439404,0.0837739,0.808733,0.448466,0.841294,1
0.600995,-0.167111,-0.42213,-0.127451,-0.0878482,0.411723,-0.00341326,-0.262104,0.874644,0.254035,1.13834,0.780867,0.0921501,0.179794,0.0322896,0.164333,0.0747102,0.121218,-0.918638,0.732171,0.752979,-0.0338843,0.178368,0.349557,-0.498578,-0.127699,0.0771073,0.298173,0.42909,0.514445,-0.256729,0.332909,0.472477,0.85652,1
0.913267,-0.0879252,-0.078171,-1.37843,-0.241051,0.445361,-0.89499,-0.164963,0.0549926,0.326958,0.119795,0.367231,-0.703435,-0.44871,-0.778408,-0.489891,0.0381967,0.0470192,-0.630521,-0.200733,-0.643698,0.709798,-0.519669,0.616566,-0.727303,0.68299,-1.12362,-0.0792445,-0.310805,-0.445505,-0.0928141,0.828432,0.463085,0.892792,1
-0.21632,-0.332366,-0.266958,-0.527169,0.115191,0.125156,0.234258,-0.0732986,-0.95643,-0.334656,0.0194767,0.38581,-0.982319,-0.0901349,-0.202288,0.0427986,0.390069,-0.702096,0.445492,0.42664,0.288097,-0.492674,0.167093,0.547544,-0.145882,0.156734,-0.242329,-0.228331,-0.251529,0.154761,0.845393,0.388469,0.47748,0.831117,1
-0.0249234,0.173918,0.171391,-0.551399,-0.431311,0.0377095,0.55878,0.0277497,-0.255167,-0.488013,-0.357873,0.660762,-0.303102,-0.278842,-0.438775,0.448683,0.569423,-0.589184,-0.0787381,-0.572522,-0.316295,-0.237523,-0.330034,-0.159111,0.85036,0.0214751,-0.987017,0.245325,0.897375,0.270593,0.449183,0.0316159,0.556022,0.850952,1
0.105129,0.261944,0.554436,0.724191,-0.146176,0.211629,0.443326,-1.05466,0.169719,-0.0895504,-0.297472,-0.530212,1.144,0.203265,0.361872,-0.0862343,-0.213327,0.846275,1.03043,-0.542879,-0.396558,0.567371,-0.249837,-0.191654,-0.952273,0.201204,0.115773,0.778266,0.170401,-0.676664,-0.2911,0.170546,0.541914,0.822727,1
0.98051,0.428204,-0.127052,-0.262673,0.675107,-0.213095,0.0677878,-0.617655,0.308375,-0.639226,0.86973,0.310547,-0.474797,-0.0317964,0.109295,0.208519,0.502259,-0.0470798,0.410368,0.541836,0.427304,-0.738494,0.942329,-0.380952,-0.59756,-0.0671386,-0.0179412,0.740031,0.901647,0.0184608,-0.435717,0.350361,0.507677,0.881358,1
0.237807,0.172541,0.32497,0.221789,0.297272,7.95,0.159592,0.243031,0.286133,0.181742,0.296155,0.319325,0.224842,0.339703,0.170468,0.122659,0.32133,0.244649,0.378923,0.107797,0.397413,0.274239,0.311127,0.242172,0.142228,0.134884,0.103599,0.313679,0.383751,0.368847,0.214201,0.28258,0.52,0.82,1
